,variance,mean,min,max
1552322_at,0.3600954545454546,2.9027272727272724,1.74,3.53
1552323_s_at,0.5866729166666667,3.736666666666666,2.27,4.54
1552325_at,0.3556467803030305,2.7803030303030303,1.64,3.65
1552326_a_at,0.4644217803030305,4.153030303030302,3.01,4.88
1552327_at,0.3546376893939395,3.0857575757575764,1.86,3.9
1552329_at,0.3687547348484848,5.1478787878787875,3.57,5.97
1552330_at,0.3022738636363637,2.8563636363636364,1.9,3.7
1552332_at,0.4329359848484847,6.718787878787879,5.37,7.42
1552334_at,0.4992814393939392,3.662424242424243,2.23,4.64
1552335_at,0.5045683712121212,4.519393939393939,3.12,5.56
1552337_s_at,0.6015001893939395,4.3975757575757575,2.9,5.37
1552338_at,0.5315630681818183,4.3945454545454545,2.96,5.19
1552340_at,0.48032159090909093,5.091818181818181,3.66,5.88
1552343_s_at,0.9055246212121209,4.010606060606061,2.29,5.29
1552344_s_at,0.5861755681818182,3.2154545454545462,1.64,4.26
1552347_at,0.29394166666666666,3.1666666666666674,2.2,3.96
1552348_at,0.8784189393939396,4.974242424242425,3.19,6.09
1552349_a_at,0.6036695075757575,4.81151515151515,3.37,5.77
1552354_at,1.0412109848484847,5.5121212121212135,3.75,7.27
1552355_s_at,0.5459426136363635,4.783636363636363,3.08,5.83
1552359_at,0.3661484848484847,2.8212121212121204,1.76,3.36
1552360_a_at,0.5648655303030304,3.4169696969696965,1.99,4.22
1552362_a_at,0.5308996212121213,4.503939393939395,3.24,5.49
1552364_s_at,0.37937784090909105,5.181818181818182,3.76,6.47
1552365_at,0.45946761363636374,2.9663636363636363,1.56,3.53
1552367_a_at,0.21378143939393932,5.112424242424242,4.23,5.97
1552368_at,0.40140056818181824,3.3654545454545457,2.17,4.33
1552370_at,0.44942916666666666,2.9466666666666663,1.68,3.62
1552372_at,0.2940142045454544,2.4772727272727266,1.51,3.14
1552373_s_at,0.4497176136363636,2.906363636363637,1.58,3.74
1552375_at,0.3597541666666666,2.8933333333333335,1.8,3.61
1552377_s_at,0.4458791666666667,5.583333333333332,4.21,6.29
1552378_s_at,0.41394034090909104,4.588181818181819,3.42,6.44
1552379_at,0.33002973484848475,2.6321212121212127,1.52,3.22
1552381_at,0.6159897727272727,5.8609090909090895,4.49,7.34
1552383_at,0.5643840909090909,6.831818181818182,5.45,7.91
1552384_a_at,0.748002840909091,4.87181818181818,3.32,6.39
1552386_at,0.2425215909090909,2.8081818181818186,1.95,3.29
1552388_at,0.5711876893939394,6.322424242424244,4.9,7.04
1552389_at,0.5418342803030302,3.526969696969697,2.2,4.57
1552390_a_at,0.2698371212121214,3.0593939393939396,2.0,3.65
1552391_at,0.48557500000000003,4.87,3.18,5.8
1552393_at,0.3224176136363636,2.673636363636364,1.6,3.28
1552394_a_at,0.4233371212121213,2.8439393939393938,1.63,3.48
1552395_at,0.2243257575757576,6.624848484848486,5.74,7.37
1552396_at,0.5194195075757576,3.538484848484849,2.2,4.41
1552398_a_at,0.39007462121212116,3.4093939393939388,2.35,4.42
1552399_a_at,0.512990340909091,4.598181818181817,3.18,5.78
1552400_a_at,0.6026267045454544,4.422727272727271,3.02,5.51
1552401_a_at,0.4795329545454545,3.107272727272728,1.84,3.93
1552402_at,0.5377246212121214,4.833939393939393,3.15,5.96
1552405_at,0.47449962121212097,4.953939393939393,3.68,5.72
1552408_at,0.3095193181818182,3.924545454545456,2.7,4.56
1552409_a_at,0.2662528409090909,5.341818181818182,4.09,6.13
1552410_at,0.6457001893939394,3.9357575757575765,2.35,5.09
1552411_at,0.49556931818181826,5.534545454545454,4.13,6.58
1552412_a_at,0.5642172348484848,3.6678787878787875,2.4,4.46
1552414_at,0.7756780303030302,4.42030303030303,2.79,5.76
1552415_a_at,0.5272251893939394,5.322424242424243,4.03,6.74
1552417_a_at,2.42601553030303,5.170303030303032,2.81,7.2
1552418_at,0.4931172348484848,4.641212121212122,3.28,5.45
1552419_s_at,0.5649022727272728,5.74090909090909,3.76,6.64
1552421_a_at,0.7428376893939393,3.7842424242424246,2.47,5.65
1552422_at,0.6635505681818183,4.6454545454545455,3.09,6.02
1552423_at,0.2096876893939393,5.165757575757577,4.33,5.88
1552424_at,0.3637755681818182,3.8445454545454547,2.73,4.94
1552425_a_at,0.9232454545454544,4.187272727272728,2.33,5.46
1552426_a_at,0.38297973484848463,2.837878787878788,1.5,3.62
1552427_at,0.3348772727272728,2.6909090909090905,1.6,3.3
1552430_at,0.3672318181818179,2.694545454545455,1.61,3.3
1552432_at,0.5369746212121213,5.540606060606063,4.02,6.56
1552436_a_at,0.39869678030303035,6.090303030303031,4.71,6.97
1552438_a_at,0.6145484848484851,3.128787878787879,1.81,4.24
1552439_s_at,0.15988200757575757,2.985151515151515,2.3,3.53
1552440_at,0.45886837121212126,4.196060606060608,2.76,5.13
1552445_a_at,0.20956534090909093,3.3518181818181816,2.37,4.11
1552448_a_at,0.41640852272727275,3.4509090909090916,2.08,4.16
1552449_a_at,0.5797984848484848,3.6587878787878787,2.24,4.68
1552450_a_at,1.0413280303030301,4.53969696969697,2.83,5.7
1552452_at,0.5683876893939395,4.265757575757576,2.93,5.5
1552453_a_at,0.49675284090909094,4.1881818181818184,2.64,5.14
1552455_at,0.3839189393939392,3.4975757575757576,1.99,4.24
1552456_a_at,0.4029109848484851,4.171212121212122,2.85,4.78
1552457_a_at,0.3831676136363635,3.4636363636363634,2.18,4.58
1552458_at,0.5050689393939393,3.4124242424242426,1.8,4.19
1552459_a_at,0.6248738636363638,4.773636363636363,3.05,5.76
1552461_at,0.3883820075757576,3.038484848484849,1.86,4.01
1552463_at,0.6375382575757574,3.354848484848484,1.84,4.54
1552466_x_at,0.3802234848484849,2.8787878787878793,1.77,3.68
1552467_at,0.614262689393939,6.494242424242427,5.14,7.48
1552468_a_at,0.3829126893939395,4.472424242424243,3.37,5.42
1552470_a_at,0.5276183712121214,3.113939393939394,1.75,4.42
1552472_a_at,0.6351195075757573,4.5184848484848485,2.78,6.02
1552473_at,0.4409613636363636,6.093636363636365,4.78,6.84
1552474_a_at,0.46198636363636364,7.663636363636364,6.1,8.54
1552476_s_at,0.2045051136363635,6.986363636363635,5.63,7.65
1552477_a_at,0.6871392045454542,3.297272727272728,2.01,4.58
1552478_a_at,0.31216950757575757,3.3748484848484845,2.17,4.08
1552480_s_at,0.3179882575757576,2.521515151515152,1.47,3.11
1552481_s_at,0.3236079545454545,4.292727272727273,3.18,5.0
1552482_at,0.46503712121212115,3.2639393939393937,1.85,4.17
1552484_at,0.2969204545454546,5.442727272727273,4.35,6.06
1552485_at,0.4272655303030302,2.9769696969696966,1.74,3.61
1552486_s_at,1.7862933712121216,5.846060606060606,3.7,7.38
1552487_a_at,0.35210643939393926,2.685757575757575,1.49,3.28
1552489_s_at,0.4588070075757575,2.954848484848486,1.64,3.73
1552490_at,0.29082973484848507,3.618787878787878,2.56,4.34
1552491_at,0.41638200757575755,4.58848484848485,3.57,5.78
1552493_s_at,0.931744318181818,4.994545454545455,3.12,6.37
1552494_at,0.8335354166666668,4.546666666666667,2.82,5.58
1552496_a_at,0.25408712121212124,4.299393939393938,3.32,4.95
1552497_a_at,0.4513280303030302,5.19969696969697,3.61,6.14
1552498_at,0.8876842803030306,5.940303030303031,3.95,7.04
1552499_a_at,0.3698376893939392,3.675757575757575,2.54,4.81
1552501_a_at,0.6990541666666664,5.9433333333333325,4.32,6.9
1552502_s_at,0.5279132575757578,3.1251515151515146,1.74,4.12
1552503_at,0.6992695075757576,4.624848484848486,2.88,5.42
1552504_a_at,1.5354121212121212,5.199393939393939,3.15,7.14
1552506_at,0.6229229166666665,4.333333333333333,2.76,5.26
1552507_at,0.24282916666666662,3.7866666666666666,2.8,4.68
1552508_at,0.4094354166666667,3.7333333333333334,2.59,4.69
1552509_a_at,0.0347257575757576,3.528484848484849,3.13,3.95
1552510_at,0.5494382575757574,7.371515151515151,6.07,8.36
1552511_a_at,0.3564820075757574,2.855151515151516,1.76,3.39
1552514_at,0.4146505681818181,2.9454545454545453,1.88,4.15
1552515_at,0.41222575757575775,3.4851515151515144,2.23,4.17
1552516_a_at,1.0715876893939396,4.6875757575757575,2.79,6.16
1552518_s_at,0.5446704545454544,3.257272727272727,1.97,4.15
1552519_at,0.39022102272727266,3.14090909090909,2.0,3.83
1552520_at,0.49999450757575753,3.795151515151514,2.39,4.69
1552521_a_at,0.33797348484848505,2.692121212121212,1.64,3.3
1552522_at,0.4029604166666668,2.953333333333333,1.67,3.59
1552523_a_at,0.7193767045454542,4.722727272727273,2.93,6.43
1552524_at,0.6517028409090907,5.77818181818182,4.24,6.81
1552526_at,0.4598217803030303,4.816969696969698,3.47,6.05
1552528_at,0.7226954545454546,6.197272727272727,4.8,7.48
1552531_a_at,0.5449979166666666,3.7866666666666666,2.45,4.77
1552532_a_at,0.2442359848484848,3.3021212121212127,2.35,3.87
1552535_at,0.27928598484848477,5.677878787878788,4.71,6.54
1552536_at,0.45979223484848475,3.862121212121212,2.4,4.96
1552538_a_at,1.255986363636363,4.626363636363637,2.61,5.96
1552540_s_at,0.8235905303030302,5.70030303030303,3.97,6.84
1552541_at,1.1123854166666673,6.0633333333333335,4.12,7.49
1552542_s_at,0.6103801136363639,4.126363636363636,2.64,5.14
1552543_a_at,0.5130871212121211,4.09060606060606,2.79,4.83
1552544_at,0.4418062500000002,3.67,2.39,4.53
1552546_a_at,0.7885257575757576,4.388484848484849,2.62,5.18
1552548_at,0.8379132575757573,3.7015151515151508,1.91,5.57
1552549_a_at,0.649977272727273,6.030909090909091,4.24,7.36
1552552_s_at,0.5026647727272725,3.6009090909090915,2.13,4.56
1552553_a_at,0.42299053030303035,3.2703030303030296,1.86,4.1
1552554_a_at,0.5332621212121215,3.72060606060606,2.4,4.76
1552555_at,0.6306189393939394,5.4857575757575745,3.64,6.3
1552557_a_at,0.17939848484848483,4.432121212121212,3.59,5.43
1552558_a_at,0.5845433712121212,6.759393939393941,5.61,8.16
1552559_a_at,0.9515439393939393,4.355757575757577,2.37,5.59
1552562_at,0.734689204545454,4.017272727272727,3.24,5.89
1552563_a_at,0.29817159090909096,2.7818181818181826,1.85,3.47
1552564_at,0.39080587121212124,3.11060606060606,2.05,4.09
1552566_at,0.6651570075757576,3.9184848484848485,2.55,5.24
1552568_at,0.5698863636363636,4.353636363636364,2.87,5.54
1552569_a_at,0.5232028409090907,4.241818181818181,2.83,5.13
1552570_at,0.5020960227272728,3.3409090909090913,2.01,4.03
1552572_a_at,0.5201234848484851,3.131212121212121,1.8,3.94
1552573_s_at,0.5824500000000002,4.58,3.26,5.43
1552575_a_at,0.27824034090909094,4.3118181818181816,3.09,4.95
1552576_at,0.9987547348484851,4.817878787878788,3.15,6.47
1552578_a_at,0.3532507575757576,2.9784848484848485,1.72,4.11
1552579_a_at,0.2967780303030303,4.196969696969697,3.21,4.81
1552580_at,1.1713613636363636,4.713636363636362,2.69,6.22
1552582_at,0.5555967803030305,3.309696969696969,2.02,4.29
1552583_s_at,0.45454393939393944,3.237575757575758,1.9,3.96
1552584_at,0.24208825757575755,4.314848484848484,3.19,5.09
1552585_s_at,0.477254734848485,3.2378787878787887,1.85,4.25
1552586_at,0.7363030303030302,5.423030303030302,4.01,6.4
1552587_at,0.21570928030303027,3.2630303030303023,2.23,3.87
1552588_a_at,0.3618922348484848,2.8921212121212125,1.73,3.59
1552590_a_at,0.30596950757575764,3.014848484848485,2.11,3.65
1552592_at,0.401148484848485,3.068787878787878,1.73,3.8
1552594_at,0.8351746212121214,6.2693939393939395,4.68,7.44
1552596_at,0.4532329545454542,6.332727272727273,4.88,7.39
1552598_at,0.6695882575757579,4.748484848484848,3.05,5.7
1552599_at,0.4085564393939393,3.327575757575757,2.18,4.48
1552602_at,0.7993007575757577,5.00151515151515,3.04,6.32
1552604_at,0.6930903409090909,4.168181818181818,2.35,5.2
1552605_s_at,0.4051064393939394,3.6224242424242417,2.48,4.37
1552607_at,0.5247579545454546,4.902727272727274,3.52,5.72
1552608_at,0.7024672348484853,3.7187878787878783,2.1,4.48
1552609_s_at,0.860667234848485,4.562121212121213,2.9,5.6
1552610_a_at,1.5746001893939394,8.047575757575755,5.76,9.3
1552611_a_at,1.1878772727272728,6.16090909090909,3.66,7.54
1552612_at,0.9394445075757576,4.604848484848484,2.87,6.1
1552613_s_at,0.5356871212121214,4.713939393939394,2.88,5.7
1552615_at,0.5285092803030301,7.213030303030304,5.99,8.32
1552616_a_at,0.6819570075757576,4.531515151515152,2.95,5.54
1552617_a_at,0.7858068181818181,6.584545454545455,4.74,7.62
1552618_at,0.7135155303030302,5.660303030303032,4.19,6.4
1552619_a_at,1.4952195075757577,8.268484848484848,6.21,10.18
1552620_at,0.4917217803030303,6.2369696969696955,5.12,7.16
1552621_at,0.7718842803030306,4.3896969696969705,2.78,5.29
1552622_s_at,0.42729261363636367,3.7663636363636375,2.59,4.57
1552623_at,0.6609876893939394,4.914242424242424,3.37,6.31
1552625_a_at,1.8314882575757574,5.521515151515153,2.75,7.25
1552626_a_at,0.3352030303030303,3.3969696969696965,2.33,4.08
1552627_a_at,0.8201484848484846,5.587878787878788,3.61,6.68
1552628_a_at,0.2806585227272727,5.929090909090909,5.08,6.76
1552629_a_at,0.26912973484848474,3.5887878787878784,2.24,4.22
1552630_a_at,1.047575757575757,4.651515151515151,3.03,6.37
1552631_a_at,0.5907564393939393,5.3624242424242405,3.73,6.34
1552632_a_at,0.45204886363636365,3.7663636363636375,2.22,4.66
1552633_at,0.2173751893939394,5.112424242424241,4.23,5.8
1552634_a_at,0.4493751893939391,3.4257575757575753,2.08,4.27
1552637_at,0.3853217803030302,3.3603030303030312,2.21,4.24
1552639_at,0.6469570075757575,4.684848484848485,3.07,5.63
